name,ra,dec,image,thumb,typ,aufnahmejahr
IC59/IC63 Geisternebel,14.42666667,61.08327778,image/IC59+IC63_beschriftet.jpg,image/thumbs/thumb_IC59+IC63_beschriftet.jpg,Nebel,2022
LDN673,290.22666667,11.22,image/LDN673_neo_beschriftet.jpg,image/thumbs/thumb_LDN673_neo_beschriftet.jpg,Dunkelnebel,2023
IC1318 Schmetterlingsnebel,306.80458333,40.09833333,image/LDN889_beschriftet.jpg,image/thumbs/thumb_LDN889_beschriftet.jpg,Dunkelnebel,2023
M65/M66/NGC3628 Leo-Triplett,169.73315417,13.09221111,image/Leo_Triplet_beschriftet.jpg,image/thumbs/thumb_Leo_Triplet_beschriftet.jpg,Galaxie,2023
M101 Pinwheel Galaxie,210.80242917,54.34875,image/M101_beschriftet.jpg,image/thumbs/thumb_M101_beschriftet.jpg,Galaxie,2023
M106,184.74008333,47.30371944,image/M106_beschriftet.jpg,image/thumbs/thumb_M106_beschriftet.jpg,Galaxie,2023
M13 Herkules Kugelsternhaufen,250.423475,36.46131944,image/M13_beschriftet.jpg,image/thumbs/thumb_M13_beschriftet.jpg,Sternhaufen,2021
M15,322.49304167,12.167,image/M15.jpg,image/thumbs/thumb_M15.jpg,Sternhaufen,2021
M16 Adlernebel,274.7,-13.80666667,image/M16_Adlernebel_beschriftet.jpg,image/thumbs/thumb_M16_Adlernebel_beschriftet.jpg,Nebel,2022
M17 Omeganebel,275.19583333,-16.17166667,image/M17_beschriftet.jpg,image/thumbs/thumb_M17_beschriftet.jpg,Nebel,2022
M20 Trifidnebel,270.675,-22.97166667,image/M20 Trifidnebel.jpg,image/thumbs/thumb_M20 Trifidnebel.jpg,Nebel,2021
M22,279.09975,-23.90475,image/M22_beschriftet.jpg,image/thumbs/thumb_M22_beschriftet.jpg,Sternhaufen,2024
M27 Hantelnebel.jpg,299.90151337,22.72119788,image/M27_beschriftet BB_NB.jpg,image/thumbs/thumb_M27_beschriftet BB_NB.jpg,Nebel,2025
M31 Andromedagalaxie,10.68470833,41.26875,image/M31_mitLum_beschriftet.jpg,image/thumbs/thumb_M31_mitLum_beschriftet.jpg,Galaxie,2022
M33 Dreiecksgalaxie,23.4621,30.65994167,image/M33_beschriftet.jpg,image/thumbs/thumb_M33_beschriftet.jpg,Galaxie,2022
M34,40.52083333,42.76166667,image/M34_beschriftet.jpg,image/thumbs/thumb_M34_beschriftet.jpg,Sternhaufen,2023
M42 Orionnebel,83.82208333,-5.39111111,image/M42_neu_beschriftet.jpg,image/thumbs/thumb_M42_neu_beschriftet.jpg,Nebel,2021
M44 Bienenkorbhaufen,130.1,19.66666667,image/M44 Bienenkorb-Haufen.jpg,image/thumbs/thumb_M44 Bienenkorb-Haufen.jpg,Sternhaufen,2022
M45 Plejaden,56.75,24.11666667,image/M45 Plejaden neu.jpg,image/thumbs/thumb_M45 Plejaden neu.jpg,Sternhaufen,2021
M46/M47_beschriftet,115.44166667,-14.81,image/M46M47_beschriftet.jpg,image/thumbs/thumb_M46M47_beschriftet.jpg,Sternhaufen,2025
M4,245.89675,-26.52575,image/M4_beschriftet.jpg,image/thumbs/thumb_M4_beschriftet.jpg,Sternhaufen,2024
M50,105.69791667,-8.33777778,image/M50_beschriftet.jpg,image/thumbs/thumb_M50_beschriftet.jpg,Sternhaufen,2025
M51 Whirlpool-Galaxie,202.469575,47.19525833,image/M51_beschriftet.jpg,image/thumbs/thumb_M51_beschriftet.jpg,Galaxie,2023
M5,229.63841667,2.08102778,image/M5_beschriftet.jpg,image/thumbs/thumb_M5_beschriftet.jpg,Sternhaufen,2024
M61,185.47886465,4.47377454,image/M61_beschriftet.jpg,image/thumbs/thumb_M61_beschriftet.jpg,Galaxie,2025
M77/NGC1055 Cetus A,40.66987917,-0.01328889,image/M77_NGC1055_beschriftet.jpg,image/thumbs/thumb_M77_NGC1055_beschriftet.jpg,Galaxie,2023
M78 Caspernebel,86.69083333,0.07916667,image/M78_Casper_beschriftet.jpg,image/thumbs/thumb_M78_Casper_beschriftet.jpg,Nebel,2022
M81/M82 Bode-/Zigarrengalaxie,148.88822108,69.06529472,image/M81_M82 beschriftet.jpg,image/thumbs/thumb_M81_M82 beschriftet.jpg,Galaxie,2023
M83,204.25382917,-29.86576111,image/M83_beschriftet.jpg,image/thumbs/thumb_M83_beschriftet.jpg,Galaxie,2025
M88,187.99673333,14.42041111,image/M88_beschriftet.jpg,image/thumbs/thumb_M88_beschriftet.jpg,Galaxie,2025
